city,year,yearcount,weekofyear,total_cases
iq,2005,6,39,2
iq,2005,6,40,4
iq,2005,6,41,4
iq,2005,6,42,3
iq,2005,6,43,3
iq,2005,6,44,5
iq,2005,6,45,6
iq,2005,6,46,14
iq,2005,6,47,3
iq,2005,6,48,7
iq,2005,6,49,11
iq,2005,6,50,2
iq,2005,6,51,6
iq,2006,6,52,8
iq,2006,6,1,25
iq,2006,6,2,21
iq,2006,6,3,10
iq,2006,6,4,28
iq,2006,6,5,39
iq,2006,6,6,20
iq,2006,6,7,24
iq,2006,6,8,28
iq,2006,6,9,26
iq,2006,6,10,8
iq,2006,6,11,9
iq,2006,6,12,12
iq,2006,6,13,18
iq,2006,6,14,9
iq,2006,6,15,9
iq,2006,6,16,6
iq,2006,6,17,6
iq,2006,6,18,8
iq,2006,6,19,5
iq,2006,6,20,7
iq,2006,6,21,6
iq,2006,6,22,5
iq,2006,6,23,3
iq,2006,6,24,1
iq,2006,6,25,0
iq,2006,7,26,1
iq,2006,7,27,2
iq,2006,7,28,3
iq,2006,7,29,2
iq,2006,7,30,2
iq,2006,7,31,2
iq,2006,7,32,2
iq,2006,7,33,2
iq,2006,7,34,4
iq,2006,7,35,0
iq,2006,7,36,6
iq,2006,7,37,3
iq,2006,7,38,2
iq,2006,7,39,6
iq,2006,7,40,2
iq,2006,7,41,7
iq,2006,7,42,4
iq,2006,7,43,6
iq,2006,7,44,6
iq,2006,7,45,2
iq,2006,7,46,13
iq,2006,7,47,10
iq,2006,7,48,5
iq,2006,7,49,2
iq,2006,7,50,0
iq,2006,7,51,1
iq,2007,7,1,0
iq,2007,7,2,14
iq,2007,7,3,6
iq,2007,7,4,10
iq,2007,7,5,5
iq,2007,7,6,12
iq,2007,7,7,9
iq,2007,7,8,5
iq,2007,7,9,11
iq,2007,7,10,2
iq,2007,7,11,6
iq,2007,7,12,7
iq,2007,7,13,6
iq,2007,7,14,5
iq,2007,7,15,9
iq,2007,7,16,5
iq,2007,7,17,8
iq,2007,7,18,3
iq,2007,7,19,4
iq,2007,7,20,11
iq,2007,7,21,5
iq,2007,7,22,8
iq,2007,7,23,4
iq,2007,7,24,3
iq,2007,7,25,1
iq,2007,8,26,2
iq,2007,8,27,3
iq,2007,8,28,4
iq,2007,8,29,1
iq,2007,8,30,8
iq,2007,8,31,5
iq,2007,8,32,3
iq,2007,8,33,2
iq,2007,8,34,7
iq,2007,8,35,1
iq,2007,8,36,6
iq,2007,8,37,7
iq,2007,8,38,5
iq,2007,8,39,2
iq,2007,8,40,6
iq,2007,8,41,11
iq,2007,8,42,6
iq,2007,8,43,3
iq,2007,8,44,11
iq,2007,8,45,11
iq,2007,8,46,5
iq,2007,8,47,4
iq,2007,8,48,9
iq,2007,8,49,23
iq,2007,8,50,28
iq,2007,8,51,26
iq,2007,8,52,7
iq,2008,8,1,29
iq,2008,8,2,58
iq,2008,8,3,26
iq,2008,8,4,38
iq,2008,8,5,35
iq,2008,8,6,37
iq,2008,8,7,20
iq,2008,8,8,29
iq,2008,8,9,25
iq,2008,8,10,23
iq,2008,8,11,9
iq,2008,8,12,3
iq,2008,8,13,6
iq,2008,8,14,6
iq,2008,8,15,3
iq,2008,8,16,1
iq,2008,8,17,3
iq,2008,8,18,1
iq,2008,8,19,1
iq,2008,8,20,0
iq,2008,8,21,2
iq,2008,8,22,1
iq,2008,8,23,1
iq,2008,8,24,0
iq,2008,8,25,0
iq,2008,9,26,1
iq,2008,9,27,0
iq,2008,9,28,3
iq,2008,9,29,3
iq,2008,9,30,1
iq,2008,9,31,5
iq,2008,9,32,2
iq,2008,9,33,5
iq,2008,9,34,5
iq,2008,9,35,5
iq,2008,9,36,9
iq,2008,9,37,17
iq,2008,9,38,19
iq,2008,9,39,25
iq,2008,9,40,45
iq,2008,9,41,34
iq,2008,9,42,63
iq,2008,9,43,44
iq,2008,9,44,50
iq,2008,9,45,35
iq,2008,9,46,16
iq,2008,9,47,16
iq,2008,9,48,13
iq,2008,9,49,9
iq,2008,9,50,15
iq,2008,9,51,4
iq,2008,9,52,0
iq,2009,9,1,1
iq,2009,9,2,10
iq,2009,9,3,11
iq,2009,9,4,29
iq,2009,9,5,35
iq,2009,9,6,30
iq,2009,9,7,20
iq,2009,9,8,21
iq,2009,9,9,12
iq,2009,9,10,9
iq,2009,9,11,11
iq,2009,9,12,9
iq,2009,9,13,5
iq,2009,9,14,11
iq,2009,9,15,3
iq,2009,9,16,5
iq,2009,9,17,5
iq,2009,9,18,4
iq,2009,9,19,4
iq,2009,9,20,1
iq,2009,9,21,0
iq,2009,9,22,2
iq,2009,9,23,3
iq,2009,9,24,3
iq,2009,9,25,5
iq,2009,10,26,2
iq,2009,10,27,1
iq,2009,10,28,2
iq,2009,10,29,0
iq,2009,10,30,0
iq,2009,10,31,3
iq,2009,10,32,5
iq,2009,10,33,5
iq,2009,10,34,7
iq,2009,10,35,5
iq,2009,10,36,2
iq,2009,10,37,2
iq,2009,10,38,2
iq,2009,10,39,0
iq,2009,10,40,2
iq,2009,10,41,1
iq,2009,10,42,1
iq,2009,10,43,2
iq,2009,10,44,2
iq,2009,10,45,3
iq,2009,10,46,9
iq,2009,10,47,5
iq,2009,10,48,5
iq,2009,10,49,4
iq,2009,10,50,4
iq,2009,10,51,1
iq,2009,10,52,0
iq,2010,10,53,0
iq,2010,10,1,10
iq,2010,10,2,9
iq,2010,10,3,17
iq,2010,10,4,16
iq,2010,10,5,11
iq,2010,10,6,12
iq,2010,10,7,19
iq,2010,10,8,15
iq,2010,10,9,12
iq,2010,10,10,12
iq,2010,10,11,16
iq,2010,10,12,9
iq,2010,10,13,4
iq,2010,10,14,9
iq,2010,10,15,6
iq,2010,10,16,8
iq,2010,10,17,4
iq,2010,10,18,2
iq,2010,10,19,7
iq,2010,10,20,6
iq,2010,10,21,5
iq,2010,10,22,8
iq,2010,10,23,1
iq,2010,10,24,1
iq,2010,10,25,4
